Symbol,Yahoo Symbol,Company,Price,Trailing P/E,Forward P/E,Market Cap,Beta,Dividend Rate,Dividend Yield,Currency,Quote Type,Sector,Industry,Weight
RSG,RSG,"Republic Services, Inc.",206.56,30.110786,25.665972,63817990144.0,0.535,2.5,1.21,USD,EQUITY,Industrials,Waste Management,0.0011478148990938
CARR,CARR,Carrier Global Corporation,67.62,45.08,21.17824,56163848192.0,1.319,0.96,1.42,USD,EQUITY,Industrials,Building Products & Equipment,0.0011055825515098
CSX,CSX,CSX Corporation,45.09,27.662577,20.950266,83783483392.0,1.246,0.56,1.24,USD,EQUITY,Industrials,Railroads,0.0011050266174083
HLT,HLT,Hilton Worldwide Holdings Inc.,318.61,48.568596,30.540577,72531042304.0,1.11,0.6,0.19,USD,EQUITY,Consumer Cyclical,Lodging,0.0010939338013469
DLR,DLR,"Digital Realty Trust, Inc.",200.7,53.236073,64.50866,71271178240.0,1.091,4.88,2.43,USD,EQUITY,Real Estate,REIT - Specialty,0.0010862428391996
TGT,TGT,Target Corporation,128.89,15.853628,15.144963,58538778624.0,1.032,4.56,3.54,USD,EQUITY,Consumer Defensive,Discount Stores,0.001083896552633
KMI,KMI,"Kinder Morgan, Inc.",32.53,21.832214,22.025118,72373583872.0,0.63,1.18,3.61,USD,EQUITY,Energy,Oil & Gas Midstream,0.0010731975477909
OKE,OKE,"ONEOK, Inc.",90.36,16.10695,14.696937,56929767424.0,0.809,4.28,4.74,USD,EQUITY,Energy,Oil & Gas Midstream,0.0010519823685024
TFC,TFC,Truist Financial Corporation,50.93,12.606436,9.933801,63452618752.0,0.869,2.08,4.08,USD,EQUITY,Financial Services,Banks - Regional,0.0010346446527107
AFL,AFL,AFLAC Incorporated,112.88,12.900571,14.673842,57628622848.0,0.652,2.44,2.16,USD,EQUITY,Financial Services,Insurance - Life,0.0010263507408261
GM,GM,General Motors Company,75.77,27.653284,5.403717,68319170560.0,1.345,0.72,0.95,USD,EQUITY,Consumer Cyclical,Auto Manufacturers,0.0010249673167954
BK,BK,The Bank of New York Mellon Cor,133.78,16.618633,13.913199,91823783936.0,1.053,2.12,1.58,USD,EQUITY,Financial Services,Banks - Diversified,0.0010153513664986
ROP,ROP,"Roper Technologies, Inc.",358.22,22.360798,14.992946,36870692864.0,0.89,3.64,1.02,USD,EQUITY,Technology,Software - Application,0.0010135940281477
MET,MET,"MetLife, Inc.",80.23,17.033972,7.3231487,51763200000.0,0.733,2.37,2.95,USD,EQUITY,Financial Services,Insurance - Life,0.0010135431068243
CPRT,CPRT,"Copart, Inc.",33.27,20.924528,19.804398,32049270784.0,1.142,,,USD,EQUITY,Industrials,Specialty Business Services,0.0010092487664436
FCX,FCX,"Freeport-McMoRan, Inc.",56.55,29.920635,15.316984,81177616384.0,1.473,0.6,1.06,USD,EQUITY,Basic Materials,Copper,0.0010046160313924
CVS,CVS,CVS Health Corporation,82.09,59.057552,10.032534,105206898688.0,0.505,2.66,3.24,USD,EQUITY,Healthcare,Healthcare Plans,0.0010043276000465
PCAR,PCAR,PACCAR Inc.,116.08,24.697874,17.218977,61091307520.0,1.064,1.4,1.21,USD,EQUITY,Industrials,Farm & Heavy Construction Machinery,0.0009934664723222
SRE,SRE,DBA Sempra,94.67,34.425453,17.110159,61850992640.0,0.677,2.63,2.78,USD,EQUITY,Utilities,Utilities - Diversified,0.0009892562147636
AZO,AZO,"AutoZone, Inc.",3594.08,25.189796,20.539808,59546079232.0,0.406,,,USD,EQUITY,Consumer Cyclical,Specialty Retail,0.0009839571546666
TRV,TRV,"The Travelers Companies, Inc.",304.72,9.090692,10.693678,64797089792.0,0.522,5.0,1.64,USD,EQUITY,Financial Services,Insurance - Property & Casualty,0.0009833502255494
NXPI,NXPI,NXP Semiconductors N.V.,295.24,28.25263,17.18925,74539556864.0,1.467,4.06,1.37,USD,EQUITY,Technology,Semiconductors,0.0009613408652148
